City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,puerto san jose,13.9256,-90.8244,24.68,86,33,2.71,GT,1699863424
305,celestun,20.8667,-90.4,24.37,86,5,4.26,MX,1699863424
306,akjoujt,19.6969,-14.4164,23.56,13,0,3.38,MR,1699863425
307,basco,20.4487,121.9702,26.38,73,100,14.87,PH,1699863425
308,omuo-ekiti,7.7583,5.7223,26.57,66,87,1.16,NG,1699863425
309,ciudad madero,22.2667,-97.8333,19.47,90,100,2.08,MX,1699863143
310,acapulco de juarez,16.8634,-99.8901,27.9,78,75,2.06,MX,1699863340
311,calama,-22.4667,-68.9333,9.27,31,0,6.69,CL,1699863417
312,flying fish cove,-10.4217,105.6791,27.82,74,75,4.63,CX,1699863426
313,north elba,44.2434,-73.9543,-7.12,72,1,1.06,US,1699863426
314,iskateley,67.6803,53.1512,-11.66,94,66,2.24,RU,1699863426
315,cooma,-36.2333,149.1333,17.75,45,1,3.08,AU,1699863427
316,ballina,-28.8667,153.5667,19.88,80,98,5.95,AU,1699863366
317,chake chake,-5.2459,39.7666,28.78,72,40,2.56,TZ,1699863427
318,finote selam,10.7,37.2667,22.91,57,40,1.15,ET,1699863427
319,chuhuyiv,49.8359,36.688,7.58,72,100,6.89,UA,1699863428
320,anatuya,-28.4606,-62.8347,14.33,63,100,5.89,AR,1699863428
321,martakert,40.2104,46.821,23.83,24,21,2.13,AZ,1699863428
322,afif,23.9065,42.9172,26.02,28,96,6.65,SA,1699863428
323,ebon,4.582,168.6964,28.52,79,100,2.82,MH,1699863429
324,kalevala,65.2,31.1667,-4.95,93,97,3.58,RU,1699863429
325,margate,51.3813,1.3862,14.06,96,100,4.47,GB,1699863429
326,feodosiya,45.0333,35.3833,14.02,53,58,0.55,UA,1699863429
327,namdrik,5.5994,168.1028,28.26,81,100,3.95,MH,1699863430
328,sathupalli,17.2497,80.869,30.28,51,62,1.65,IN,1699863430
329,puerto armuelles,8.2833,-82.8667,27.27,84,100,3.13,PA,1699863430
330,i-n-salah,27.1935,2.4607,22.03,32,0,5.2,DZ,1699863430
331,isheyevka,54.4167,48.2667,8.76,82,100,8.66,RU,1699863431
332,peace river,56.2501,-117.286,-0.83,100,75,3.09,CA,1699863431
333,skadovs'k,46.1161,32.9112,10.97,63,13,1.88,UA,1699863431
334,argostolion,38.1811,20.489,20.97,59,40,6.17,GR,1699863431
335,shendi,16.6915,33.4341,34.85,24,15,1.97,SD,1699863432
336,kolyvan',55.3053,82.7391,3.79,95,100,5.21,RU,1699863432
337,darwin,-12.4611,130.8418,30.5,69,75,4.12,AU,1699863192
338,khombole,14.7667,-16.7,23.45,22,19,3.6,SN,1699863432
339,dunedin,-45.8742,170.5036,12.11,84,100,0.45,NZ,1699863433
340,phuthaditjhaba,-28.5242,28.8158,21.04,38,3,1.92,ZA,1699863433
341,tual,-5.6667,132.75,28.15,76,38,4.79,ID,1699863433
342,la passe,45.5549,-0.8967,16.1,86,100,6.02,FR,1699863434
343,kirs,59.3388,52.2447,0.87,97,100,5.31,RU,1699863434
344,tucurui,-3.7661,-49.6725,24.99,73,59,2.57,BR,1699863434
345,st. john's,47.5649,-52.7093,-1.17,78,100,3.6,CA,1699863316
346,greeneville,36.1632,-82.831,7.22,72,100,0.0,US,1699863415
347,al kharijah,25.4514,30.5464,29.51,34,58,5.9,EG,1699863435
348,carolina beach,34.0352,-77.8936,11.15,83,100,6.28,US,1699863435
349,zhosaly,45.4878,64.0781,8.83,63,1,2.74,KZ,1699863435
350,nizhniy odes,63.6445,54.856,-5.34,91,100,3.72,RU,1699863436
351,hirara,24.8,125.2833,21.15,60,75,10.8,JP,1699863436
352,hamilton,39.1834,-84.5333,5.95,77,0,0.0,US,1699863436
353,namibe,-15.1961,12.1522,26.25,64,9,3.57,AO,1699863436
354,hailar,49.2,119.7,-11.35,93,6,2.93,CN,1699863437
355,maun,-19.9833,23.4167,35.1,16,65,3.25,BW,1699863437
356,pisco,-13.7,-76.2167,18.03,88,19,0.0,PE,1699863437
357,buka,40.8108,69.1986,13.62,31,87,1.07,UZ,1699863437
358,vernon,50.2581,-119.2691,5.16,79,100,0.51,CA,1699863318
359,berber,18.0216,33.983,34.62,29,9,3.02,SD,1699863438
360,ghanzi,-21.5667,21.7833,32.56,16,16,5.46,BW,1699863438
361,hassi messaoud,31.6804,6.0729,15.92,51,0,1.03,DZ,1699863438
362,cabo san lucas,22.8909,-109.9124,25.84,73,70,2.52,MX,1699863219
